workerid	byWords	condition	item	response	sentence	slide_number
0	[]	filler	filler	69	This is a simple sentence to get you started.	5
0	[]	filler	filler	69	The next sentence will start the experiment.	7
0	[]	2	3	73	No declaration that the librarians helped the students has ever made the rounds.	10
0	[]	filler	filler	69	The horses that no jockey wanted to ride were sold to nearby farms and rented out to trainers.	11
0	[]	filler	filler	69	The professor's speculation that no practical counter-examples would turn up in the article was justified.	13
0	[]	filler	filler	69	The rocky roads that no regular sedan could handle were quite easy to drive on in a large truck.	15
0	[]	filler	filler	73	The programmer that work for the largest computer server corporation have could many experience in customer service	18
0	[]	filler	filler	69	The electrician's estimation that no building on the block would need to be rewired was made clear to her boss.	19
0	[]	filler	filler	73	The papers that the students wants to write for the introductory course have no errors at all.	20
0	[]	filler	filler	69	The items that no family member needed were sold at the neighborhood yard sale.	21
0	[]	filler	filler	69	The senator's opinion that no farm subsidies could stimulate the economy was strongly disputed in the debate.	22
0	[]	filler	filler	69	The nurse's hunch that no abnormalities would be found in the brain scan was debated by his supervisor.	23
0	[]	2	4	69	No disclosure that the lawyers received criticism for a bad trial has ever been disputed. 	24
0	[]	filler	filler	69	The minivans that no families wanted to purchase were redesigned to be more affordable and attractive.	25
0	[]	0	9	73	The information that no medic rescued the victim has never caused outrage.	26
0	[]	filler	filler	69	The psychologist's opinion that no individual could succeed without a college education was mentioned in the university brochure.	27
0	[]	filler	filler	73	No historian's conjecture that a consensus would emerge on how to ration food fairly was supported by historical data.	28
0	[]	filler	filler	69	No conservationist's admission that an energy shortage would be caused by the new drilling technique was questioned by the committee.	29
0	[]	2	0	69	No report that the ambassadors consulted the diplomats has ever been acknowledged.	30
0	[]	filler	filler	69	No environmentalist's conjecture that the local wildlife would be affected by the oil spill was discussed with the Coast Guard.	31
0	[]	filler	filler	69	The secretary's intuition that no emails would reach the employees during the system upgrade was revealed in his weekly meeting with the boss.	32
0	[]	2	18	73	No fact that the professors wanted any negativity in a class debate has ever been claimed.	33
0	[]	filler	filler	69	The apartments that no family wanted to inhabit are rumored to be haunted by a mean ghost.	34
0	[]	0	13	69	The realization that no comments caused any bitterness toward the media has ever been substantiated.	35
0	[]	filler	filler	69	The secret documents that no spy could find were hidden in an underground vault.	36
0	[]	2	17	69	No belief that the customers expressed any optimism for a full refund has ever been reported in the newspaper.	37
0	[]	filler	filler	69	Most parks that the forest rangers have patrolled vigilantly during the summer has had forest fires.	38
0	[]	0	19	73	The undefined that no accountant saw a rise in the quarterly profits has ever been claimed.	39
0	[]	filler	filler	69	The accountant's speculation that no tax cuts would be made in the near future was quite troubling for many small businesses.	40
0	[]	filler	filler	69	No geologist's premonition that evacuations would be necessary to avoid the volcano's lava flow was relayed to the island town.	41
